date,day_weather,night_weather,max_temp,min_temp,day_wind,night_wind
2022-10-04,晴 ,  晴,12℃ , 8℃,北风 6-7级 , 北风 6-7级
2022-10-05,晴 ,  多云,13℃ , 9℃,北风 4-5级 , 北风 4-5级
2022-10-06,多云 ,  晴,16℃ , 11℃,西风 3-4级 , 西风 3-4级
2022-10-07,晴 ,  晴,18℃ , 13℃,西南风 3-4级 , 西南风 3-4级
2022-10-08,多云 ,  中到大雨,19℃ , 13℃,南风 4-5级 , 南风 4-5级
2022-10-09,中雨 ,  雷阵雨,15℃ , 7℃,西北风 5-6级 , 西北风 5-6级
2022-10-10,阴 ,  晴,13℃ , 8℃,西北风 5-6级 , 西北风 5-6级
2022-10-11,晴 ,  晴,17℃ , 11℃,西北风 3-4级 , 西北风 3-4级
2022-10-12,晴 ,  多云,18℃ , 13℃,西南风 3-4级 , 西南风 3-4级
2022-10-13,多云 ,  多云,18℃ , 13℃,西南风 3-4级 , 西南风 3-4级
2022-10-14,多云 ,  多云,18℃ , 12℃,西南风 3-4级 , 西南风 3-4级
2022-10-15,多云 ,  阴,19℃ , 11℃,西南风 3-4级 , 西南风 3-4级
2022-10-16,多云 ,  晴,14℃ , 9℃,北风 4-5级 , 北风 4-5级
2022-10-17,晴 ,  晴,13℃ , 7℃,西北风 4-5级 , 西北风 4-5级
2022-10-18,晴 ,  晴,15℃ , 10℃,西北风 3-4级 , 西北风 3-4级
2022-10-19,晴 ,  晴,18℃ , 13℃,西南风 4-5级 , 西南风 4-5级
2022-10-20,多云 ,  多云,17℃ , 14℃,西南风 4-5级 , 西南风 4-5级
2022-10-21,晴 ,  多云,19℃ , 13℃,西南风 4-5级 , 西南风 4-5级
2022-10-22,晴 ,  晴,17℃ , 9℃,北风 4-5级 , 北风 4-5级
2022-10-23,多云 ,  晴,18℃ , 8℃,北风 4-5级 , 北风 4-5级
2022-10-24,晴 ,  晴,16℃ , 11℃,南风 4-5级 , 南风 4-5级
2022-10-25,晴 ,  多云,18℃ , 14℃,南风 4-5级 , 南风 4-5级
2022-10-26,阴 ,  阴,17℃ , 9℃,南风 4-5级 , 南风 4-5级
2022-10-27,晴 ,  晴,14℃ , 6℃,北风 4-5级 , 北风 4-5级
2022-10-28,晴 ,  晴,12℃ , 6℃,北风 4-5级 , 北风 4-5级
2022-10-29,晴 ,  晴,13℃ , 7℃,北风 3-4级 , 北风 3-4级
